Quinsy,7,10,null,null,null,null,null,12,35,1,14
Quinsy and sore Throat,null,null,21,14,13,14,8,null,null,null,null
Rickets,317,476,441,521,413,395,364,482,557,171,202
Rising of the Lights,203,228,210,249,227,197,217,281,397,173,309
Rupture,19,18,12,28,18,26,12,21,34,34,19
Scurvy,71,82,82,95,85,70,56,54,105,25,39
Scowring,null,null,null,null,null,null,null,null,null,null,55
Shingles,null,null,null,1,null,null,null,null,null,null,null
Shingles and Swine Pox,null,null,null,null,null,null,null,null,2,null,null
Shot,null,null,82,null,null,null,null,null,null,null,null
"Sores, Ulcers, broken and bruised Limbs*",40,47,61,48,61,54,73,64,82,44,50
Spleen,2,5,7,7,5,9,3,9,14,5,50
Spotted Feaver and Purples,56,123,368,146,335,148,128,116,1929,141,96
Stifled and Smothered,null,null,null,null,null,null,3,null,null,null,3
Starved,3,6,7,null,null,null,null,null,null,null,2
Sciatica,null,null,null,2,null,null,null,null,null,null,null
Strangury,null,null,null,30,23,16,15,9,null,3,12
Stone and Strangury,73,69,22,null,null,null,null,null,98,null,null
Stopping of the Stomach,129,277,186,214,212,153,184,197,332,107,202
Suddenly,null,null,null,null,null,null,null,null,null,null,37
Surseit*,137,218,202,192,null,186,191,244,1251,345,417
Swine Pox,1,1,2,null,6,3,null,2,null,3,3
Twtter,null,null,null,1,null,null,null,null,null,null,null
Teeth and Worms,878,1036,839,1008,1195,1032,null,1122,2614,715,null
Teeth,null,null,null,null,null,null,904,null,null,null,812
Thrush,57,66,null,null,null,null,null,null,null,null,null
Vertigo,null,null,null,null,null,null,1,null,null,null,null
Vomiting,16,19,8,10,20,10,17,30,51,18,38
Worms,null,null,null,null,null,null,75,null,null,null,102
Wen,1,2,1,null,null,null,null,null,1,1,1
Wounded at Sea,null,null,null,null,null,null,null,null,null,23,null
Wounded,null,null,null,null,null,null,null,null,null,null,7
